post_id,title,price,neighborhood,map_address,street_address,latitude,longitude,data_accuracy,posted,updated,available,housing_type,bedrooms,bathooms,laundry,parking,sqft,flooring,rent_period,app_fee,broker_fee,cats_ok,dogs_ok,no_smoking,furnished,wheelchair_access,AC,EV_charging,posting_body,images,url
7330554593,Fabulous high end 3br/2bath in Bucktown - apts/housing for rent -...,3200, (Bucktown),1545 W North Ave near N Bosworth Ave,1545 W North Ave ,41.910632,-87.666801,10,2021-06-02 07:40,2021-06-02 09:50,NA,apartment,3BR,2Ba,w/d in unit,attached garage,1409ft2,wood,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,"  QR Code Link to This Post   This 3bed/2bath is now available for $3200/month at 1545 West North Ave.   This beautiful, new construction mid-rise is conveniently located next to the 90/94 expressway making your commute into the city a breeze.  Short walk to great nightlife and amazing restaurants such as @NorthBar, Pasta Bowl, Las Palmas and many more.  This modern building features an elevator, heated garage, private terraces, in unit washer/dryer, high end finishes such as quartz countertops, stainless steel appliances, floor to ceiling windows, and stellar skyline views.   Wifi and heat included in monthly building fee   Pet friendly building!      1545 W. North combines modern design and convenience to provide more than just a home.  Here you’ll find fantastic finishes of quartz and steel, private terraces, a heated garage, elevator, in unit washer/dryer, floor to ceiling windows, and stellar skyline views. With easy access to downtown or to the suburbs, and just steps to some of the hottest restaurants and nightlife in the city you can live more and commute less.  Listed by Ivan Ivanovski Peak Reality Chicago    ","['https://images.craigslist.org/00101_bFchJy6Rajgz_0pO0jm_600x450.jpg', 'https://images.craigslist.org/00j0j_3cQuKI0ENuZz_0jm0pO_600x450.jpg', 'https://images.craigslist.org/00m0m_d4lmm1PJ2Z9z_0jm0pO_600x450.jpg', 'https://images.craigslist.org/00S0S_cgVMCqLQ1tcz_0jm0pO_600x450.jpg', 'https://images.craigslist.org/00b0b_fTlazt0qORSz_0jm0pO_600x450.jpg', 'https://images.craigslist.org/00g0g_j1asQZ6SdHJz_0pO0jm_600x450.jpg', 'https://images.craigslist.org/00h0h_kPBIonnoMLMz_0jm0pO_600x450.jpg', 'https://images.craigslist.org/01515_gWUtccnh4vnz_0jm0pO_600x450.jpg', 'https://images.craigslist.org/00101_h9Ggz8wyo9Wz_0jm0pO_600x450.jpg', 'https://images.craigslist.org/00i0i_gHwALO30nEAz_0jm0pO_600x450.jpg', 'https://images.craigslist.org/00e0e_cq7E5GqbQhVz_0jm0pO_600x450.jpg', 'https://images.craigslist.org/00000_1HefW3O6Qytz_0jm0pO_600x450.jpg']",https://chicago.craigslist.org/chc/apa/d/chicago-fabulous-high-end-3br-2bath-in/7330554593.html
7330611383,"Lincoln Park, Lakefront, Apartment in the Heart of the City -...",825, (Chicago),"

            (google map)
        
","

            (google map)
        
",41.927424,-87.64545,5,2021-06-02 09:42,2021-06-02 09:42,2021-06-02,apartment,0BR,1Ba,laundry in bldg,street parking,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,"  QR Code Link to This Post   Special!! ONE month FREE rent if sign lease for June 1st move-in Date!! And no move-in fee or security deposit!  Amazing Location! Nice Studio and convertible apartments available now! All utilities included in rent except electric! High ceilings, lots of closet space, and fantastic location! The building offers laundry and bike rooms. Steps to transportation, Depaul University, Lakefront, groceries, green space, and more! Beautifully ornate old-world architecture and professionally managed. Only 5 minute walk to the lakefront and CTA, Food, Nightlife, and More! Please text continuum Brokers @  773-671-5253  to schedule a showing for 633 W Deming Pl, Chicago IL ","['https://images.craigslist.org/01414_jXROruw7i3fz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00D0D_fWJLhQkEfCrz_1320MM_600x450.jpg', 'https://images.craigslist.org/00i0i_7fvM6G3SgPKz_1320MM_600x450.jpg', 'https://images.craigslist.org/00J0J_jeNOxudtgHgz_0MM132_600x450.jpg', 'https://images.craigslist.org/00r0r_a7xjW9V8KkQz_0MM132_600x450.jpg']",https://chicago.craigslist.org/chc/apa/d/chicago-lincoln-park-lakefront/7330611383.html
7330611688,HUGE loft 1 bdrm on LSD across from NavyPier - apts/housing for rent...,2000, (Near North Chicago),540 North Lakeshore Dr near Ohio Street,540 North Lakeshore Dr ,41.89247,-87.614722,5,2021-06-02 09:43,NA,2021-07-01,apartment,1BR,1Ba,laundry on site,attached garage,1100ft2,wood,yearly,NA,NA,NA,NA,yes,NA,NA,NA,NA,"  QR Code Link to This Post   1 bedroom, 14ft ceilings, hardwood floors throughout. Laundry and gym in building. Amazing Rooftop common deck for grilling and great Lake views.    ","['https://images.craigslist.org/00b0b_6oEsIC0mAgiz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00u0u_ff69LD0QV4Oz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00i0i_8Vu3MMWXUTLz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00t0t_eDSPQjStHo0z_07K0ak_600x450.jpg', 'https://images.craigslist.org/00P0P_jcLqOHK7X6Lz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00O0O_3v08Wh09yDkz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00303_au1HLH9eCVJz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00000_irjMZocynEzz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00U0U_k59rZWE8vvlz_07K0ak_600x450.jpg']",https://chicago.craigslist.org/chc/apa/d/chicago-huge-loft-bdrm-on-lsd-across/7330611688.html
7330611796,"Amazing Location, Lincoln Park, Depaul University Convertible...",995, (Chicago),"

            (google map)
        
","

            (google map)
        
",41.927854,-87.643776,5,2021-06-02 09:43,NA,2021-06-02,apartment,0BR,1Ba,laundry in bldg,street parking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  QR Code Link to This Post   Special!! ONE month FREE rent if sign lease for June 1st move-in Date!! And no move-in fee or security deposit!  Amazing Location! Nice Convertible apartments available now! All utilities included in rent except electric! High ceilings, lots of closet space, and fantastic location! The building offers laundry and bike rooms. Steps to transportation, Depaul University, Lakefront, groceries, green space, and more! Beautifully ornate old-world architecture and professionally managed. Only 5-minute walk to the lakefront and CTA, Food, Nightlife, and More! Please text continuum Brokers @  773-671-5253  to schedule a showing for 633 W Deming Pl, Chicago IL    ","['https://images.craigslist.org/00l0l_8KnlMph4DLGz_07e09y_600x450.jpg', 'https://images.craigslist.org/00v0v_h9q1IOWvHdMz_1300Kt_600x450.jpg', 'https://images.craigslist.org/00u0u_e5w45hixudaz_1320MM_600x450.jpg', 'https://images.craigslist.org/00J0J_jeNOxudtgHgz_0MM132_600x450.jpg', 'https://images.craigslist.org/00g0g_jkVJJOap4gUz_0MM132_600x450.jpg', 'https://images.craigslist.org/00r0r_a7xjW9V8KkQz_0MM132_600x450.jpg', 'https://images.craigslist.org/00606_f4pcaYP17yTz_0jg0eg_600x450.jpg']",https://chicago.craigslist.org/chc/apa/d/chicago-amazing-location-lincoln-park/7330611796.html
7330611805,"Cano Properties - 1 bdrms, Starting at $945 - apts/housing for rent...",945, (Midway Area),"4058 W. 63rd St.,","4058 W. 63rd St.,",41.778769,-87.725036,5,2021-06-02 09:43,NA,NA,apartment,1BR,1Ba,laundry in bldg,off-street parking,NA,NA,NA,$0,NA,NA,NA,NA,NA,NA,NA,NA,"  QR Code Link to This Post   * Pictures are for example, may not be the unit available* **Flip through pictures for different listings**  Cano Properties (ask for Ed)  773 582 1985  Available NOW!  *******NO SECURITY DEPOSIT*******(for apartments in Chicago)  Deposit - Call for details  Pet policy - No pets  Building Features:  Completely Renovated  Bright, Clean Hallways  Apartment Features:  New Thermal Windows  Modern Kitchens  New Appliances  Modern Baths  Large Rooms + Closets  Security Systems  Ceiling Fans  Oak Floors  Se habla español Like us on Facebook: www.Facebook.com/canoproperties Visit our website: Canoproperties.com    ","['https://images.craigslist.org/00303_i3r9lmZkZcpz_0fu08I_600x450.jpg', 'https://images.craigslist.org/00j0j_irWZITewLexz_0fu08I_600x450.jpg', 'https://images.craigslist.org/00303_hZe6HuQdXX5_0d40hq_600x450.jpg', 'https://images.craigslist.org/01717_6jEOtiILdNt_0d40hq_600x450.jpg', 'https://images.craigslist.org/00S0S_iDvouDbhTV2_0d40hq_600x450.jpg', 'https://images.craigslist.org/00101_gCJAwXSFvy5_0d40hq_600x450.jpg', 'https://images.craigslist.org/00505_aH9Cc3amyM8_0d40hq_600x450.jpg', 'https://images.craigslist.org/00f0f_4ori2bDpUUx_0d40hq_600x450.jpg', 'https://images.craigslist.org/00h0h_2GXAjfg4zjv_0d40hq_600x450.jpg', 'https://images.craigslist.org/00707_5IZn6mtXFi9_0d40hq_600x450.jpg', 'https://images.craigslist.org/00909_6zeWtGXxkgA_0d40hq_600x450.jpg', 'https://images.craigslist.org/01616_bvH2tudC3Y2_0d40hq_600x450.jpg', 'https://images.craigslist.org/01010_im3zPvgaBSv_0hq0d4_600x450.jpg']",https://chicago.craigslist.org/chc/apa/d/chicago-cano-properties-bdrms-starting/7330611805.html
7330612167,"Amazing Location, Lincoln Park, One of a kind Studio Apartment -...",1000, (Chicago),"

            (google map)
        
","

            (google map)
        
",41.927464,-87.64546,5,2021-06-02 09:44,NA,2021-06-02,apartment,0BR,1Ba,laundry in bldg,street parking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  QR Code Link to This Post   Special!! ONE month FREE rent if sign lease for June 1st move-in Date!! And no move-in fee or security deposit! Amazing Location! One of a kind Studio available now! All utilities included in rent except electric! High ceilings, lots of closet space, and fantastic location! Laundry in building and Steps to transportation, Lakefront, groceries, Depaul University, green space, and more! Beautifully ornate architecture and professionally managed Building. Only 5 minute walk to the lakefront and CTA, Food, Nightlife, and More! 633 W Deming Pl, Chicago IL 60614 Please text Jake @  773-671-5253  to schedule a showing  UNIT AMENITIES    ","['https://images.craigslist.org/00O0O_8YCIYeTyf8Iz_1320MM_600x450.jpg', 'https://images.craigslist.org/00F0F_6yWS1PCTH4Fz_0MM132_600x450.jpg', 'https://images.craigslist.org/00303_OkrBluhRPDz_1320MM_600x450.jpg', 'https://images.craigslist.org/00N0N_4Kt2CAXrHbfz_0MM132_600x450.jpg', 'https://images.craigslist.org/00N0N_2f3klqEhzo4z_0MM132_600x450.jpg', 'https://images.craigslist.org/00u0u_hWNH9SCGCM7z_0MM132_600x450.jpg', 'https://images.craigslist.org/00H0H_aBqJ4okQMhCz_0MM132_600x450.jpg']",https://chicago.craigslist.org/nch/apa/d/chicago-amazing-location-lincoln-park/7330612167.html
7330612216,"New 1 Bed South Loop! WD in Unit, Gym and Outdoor Pool! -...",1700, (South Loop),NA,NA,41.8426,-87.6306,22,2021-06-02 09:44,2021-06-05 21:03,NA,apartment,1BR,1Ba,w/d in unit,attached garage,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,"  QR Code Link to This Post   PROPERTY INFO ID: 209606857Rent: $1,700 / MonthBeds: 1Bath: 1Pet: Pet FriendlyParking:: attached garage Price reflects current specials and promotions!  For quickest response -Call/Text: (773)595-8939 -Respond directly to this ad  Please provide the following information -Your Full Name -Email/Phone number -Move in date -Any Pets you will be bringing -Parking  We work with most downtown managed rentals! Let me know what you're looking for, and I can provide you with your best options!  With its prism-like façade this new 24-story glass apartment tower reflects the increasing trend of luxury high-rise living in the South Loop. Located in the McCormick Square micro-neighborhood, renters of the 275 units here are near the sprawling McCormick Place Convention Center, Illinois Institute of Technology, and DePaul University’s Wintrust Arena.  Zip to the Loop in 10 minutes from the CTA Green Line Cermak-McCormick Place station just 1 block away. Drivers also have convenient access to Lake Shore Drive, I-55 and I-90 expressways.    There’s plenty to do around the neighborhood along Cermak Road, as well as adjacent Motor Row, Chinatown, Pilsen and Bronzeville with a growing surge of restaurants, brewery pubs, and entertainment venues. Culture and recreation are also nearby at the Museum Campus, Soldier Field, Northerly Island and the Lakefront Trail.  Live a lush life for less with amenities that rival other downtown high-end apartments, but at a more attainable price point compared to other Loop-adjacent neighborhoods such as West Loop, River North and Streeterville. Residents here can enjoy 25,000 square feet of amenity space including a fully-equipped fitness center, yoga studio with virtual trainer, private work spaces, conference room, club lounge with pub room, game/arcade room, sports simulator room, outdoor pool deck with fire pits, grilling stations and private cabanas. Convenient on-site services are also available including dry cleaning lockers, package receiving room, a guest suite, and bike storage.  Inside these apartments the warm earth tones welcome you to a soothing home environment. The uniquely styled kitchen finishes feature a mix of hues with European two-tone white and beige cabinetry, marbled light quartz countertops, gray tile backsplash and stainless steel appliances. Elements of on-trend exposed concrete ceilings and wide plank wood flooring also create a modern loft look. The floor-to-ceiling windows provide brilliant unobstructed views in all directions. Each unit also includes full-size washers and dryers, premium roller shades and keyless entry.   A private parking garage is available on-site for an additional monthly fee. Cats and dogs are welcome (dog breed and weight restrictions apply), and there is an on-site outdoor dog run for your fuzzy buddy too!  Trung Nguyen (773)595-8939 HotSpot Rentals(License #481.011892)    Disclaimer: Pricing, availability, and specials are subject to change at any time and without notice. Photos may be of various model units and apartment availability and lease terms may vary. Please note that the price may be net effective of a special or concession that the building is currently running. Information is believed to be accurate, however, is subject to errors and omissions. HotSpot Rentals services the following neighborhoods: South Loop, Printers Row, Near North, River North, Gold Coast, West Loop, Fulton River District, West Loop Gate, The Loop, Streeterville, Lakeshore East, New East Side, Old Town, Medical District, University Village, Near North, River West, Lincoln Park South, Lakeview, Uptown, Ukrainian Village, Wicker Park, Edgewater, Ravenswood, Bronzeville, Logan Square    ","['https://images.craigslist.org/00p0p_aiEJjf9XXfGz_0fi0ah_600x450.jpg', 'https://images.craigslist.org/00l0l_26NIK7966cfz_0fq0ah_600x450.jpg', 'https://images.craigslist.org/00c0c_cN83oijChl6z_0fq0ah_600x450.jpg', 'https://images.craigslist.org/00d0d_aQ6EaM5n1iuz_0ei0ah_600x450.jpg', 'https://images.craigslist.org/00B0B_5Fp7g43dZAjz_0e10ah_600x450.jpg', 'https://images.craigslist.org/00707_i0ovbG5ghqcz_0e10ah_600x450.jpg', 'https://images.craigslist.org/00A0A_aTHTBmtQdOgz_0ck0ah_600x450.jpg', 'https://images.craigslist.org/00G0G_lX7c2576mPSz_0e10ah_600x450.jpg', 'https://images.craigslist.org/00p0p_96nsLyUnGtHz_0fq08G_600x450.jpg', 'https://images.craigslist.org/00O0O_9QSgTjZyhVbz_0e10ah_600x450.jpg', 'https://images.craigslist.org/00c0c_eMeqPUZ0Tm1z_0fq0ah_600x450.jpg', 'https://images.craigslist.org/00G0G_6Cqm3q15Og9z_0fq0ah_600x450.jpg']",https://chicago.craigslist.org/chc/apa/d/chicago-new-bed-south-loop-wd-in-unit/7330612216.html
7330612503,HUGE loft 1 bdrm on LSD across from NavyPier - apts/housing for rent...,2000, (Chicago),540 North Lakeshore Dr,540 North Lakeshore Dr,41.8971,-87.6223,22,2021-06-02 09:44,NA,NA,apartment,1BR,1Ba,laundry in bldg,attached garage,1100ft2,wood,yearly,NA,NA,NA,NA,yes,NA,NA,yes,NA,"  QR Code Link to This Post   1100sft...14 ft ceilings, gym, great roof deck, laundry in bldg.   Parking spot available for rent thru building.    Great location for the Summer.    ","['https://images.craigslist.org/00O0O_3v08Wh09yDkz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00303_au1HLH9eCVJz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00000_irjMZocynEzz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00U0U_k59rZWE8vvlz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00u0u_ff69LD0QV4Oz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00b0b_6oEsIC0mAgiz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00i0i_8Vu3MMWXUTLz_07K0ak_600x450.jpg', 'https://images.craigslist.org/00t0t_eDSPQjStHo0z_07K0ak_600x450.jpg', 'https://images.craigslist.org/00P0P_jcLqOHK7X6Lz_07K0ak_600x450.jpg']",https://chicago.craigslist.org/chc/apa/d/chicago-huge-loft-bdrm-on-lsd-across/7330612503.html
7330612733,"Spacious JR. 1 Bed/ 1 Bath Apartment, Lincoln Park, Depaul,...",1100, (Chicago),"

            (google map)
        
","

            (google map)
        
",41.927544,-87.64546,5,2021-06-02 09:45,NA,2021-06-02,apartment,0BR,1Ba,laundry in bldg,street parking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  QR Code Link to This Post   Special!! ONE month FREE rent if sign lease for June 1st move-in Date!! And no move-in fee or security deposit!  One of a kind JR 1 Bed/ 1 Bath unit in lovely Lincoln Park. Huge room, separate dining/back room, and huge walk-in closet. All utilities included in rent except electric! High ceilings, lots of closet space, and fantastic location! The building offers laundry and bike rooms. Steps to transportation, DePaul University, groceries, green space, Lakefront, and more! Beautifully ornate architecture and Professionally managed. Only 5 minute walk to the lakefront and CTA, Food, Nightlife, and More! Please text Jake @  773-671-5253  to schedule a showing  ","['https://images.craigslist.org/01414_jXROruw7i3fz_0CI0t2_600x450.jpg', 'https://images.craigslist.org/00Z0Z_gRLVsGuCr6fz_1320MM_600x450.jpg', 'https://images.craigslist.org/00P0P_lxvJRhYZikiz_1320MM_600x450.jpg', 'https://images.craigslist.org/00d0d_2E7eAhMJMBSz_0MM132_600x450.jpg', 'https://images.craigslist.org/01212_3rKAlUKfH3yz_0MM132_600x450.jpg', 'https://images.craigslist.org/00i0i_6YuiGQq3RgLz_0MM132_600x450.jpg', 'https://images.craigslist.org/00g0g_lQRpjaFfdq9z_0MM132_600x450.jpg']",https://chicago.craigslist.org/chc/apa/d/chicago-spacious-jr-bed-bath-apartment/7330612733.html
7330613815,$950 / 1 br - Addison 1 Bedroom (Addison) - apts/housing for rent -...,950, (Addison),NA,NA,41.9335,-88.0054,22,2021-06-02 09:46,NA,2021-06-02,apartment,1BR,1Ba,no laundry on site,off-street parking,NA,NA,NA,$25,NA,NA,NA,NA,NA,NA,NA,NA,"  QR Code Link to This Post   $950 - Addison 1 Bedroom (Addison) Lake near Mill  1BR / 1Ba available now  application fee details: 25 apartment no laundry on site no smoking off-street parking Text directly 773-510-4201 Ask for Chris  1 Bedroom 1 Bathroom  Tenant responsible for Electrical Water and Gas utility included  Date available:Available now Type:Apartment Cooling:Other Heating:Forced air Pets:No Parking:Off street Laundry:Contact manager Deposit & fees:First and last month rent, plus 1 month equivalent deposit    ","['https://images.craigslist.org/00z0z_c9lT2CAWAZz_0aJ077_600x450.jpg', 'https://images.craigslist.org/00x0x_9vBmoHQXdubz_0aJ077_600x450.jpg', 'https://images.craigslist.org/00o0o_cGEm52ZVeLKz_0aJ077_600x450.jpg', 'https://images.craigslist.org/00w0w_bfzyrtNyl06z_0aJ077_600x450.jpg', 'https://images.craigslist.org/00f0f_isPWZhKTAgUz_0aJ077_600x450.jpg', 'https://images.craigslist.org/00L0L_g5SMjkxrptWz_0bP0fL_600x450.jpg']",https://chicago.craigslist.org/nwc/apa/d/addison-br-addison-bedroom-addison/7330613815.html
